Takt;Distanz (voraus);Geschwindigkeit (voraus);Distanz (linke Spur);Geschwindigkeit (linke Spur);Eigengeschwindigkeit;Reaktion
0;74,5;28;-10;46;33;keine
0,1;74;28;-8,7;46;33;keine
0,2;73,5;28;-7,4;46;33;keine
0,3;73;28;-6,1;46;33;keine
0,4;72,5;28;-4,8;46,5;33;keine
0,5;72;28;-3,45;46,5;33;keine
0,6;71,5;28;-2,1;47;33;keine
0,7;71;28;-0,7;47;33;keine
0,8;70,5;28;0,7;47;33;keine
0,9;70;28;2,1;46,5;33;keine
1;69,5;28;3,45;47;33;keine
1,1;69;28;4,85;46,5;33;keine
1,2;68,5;28;6,2;46,5;33;keine
1,3;68;27,5;7,55;46;33;keine
1,4;67,45;27,5;8,85;46;33;keine
1,5;66,9;27,5;10,15;46;33;keine
1,6;66,35;27,5;11,45;45,5;33;keine
1,7;65,8;28;12,7;45,5;33;überholen
1,8;65,3;28;13,95;45,5;33;überholen
1,9;64,8;28;15,2;45,5;33;überholen
2;64,3;28;16,45;46;33;überholen
2,1;63,8;28;17,75;46;33;überholen
2,2;63,3;28;19,05;46;33;überholen
2,3;62,8;28,5;20,35;46,5;33;überholen
2,4;62,35;28,5;21,7;46;33;überholen
2,5;61,9;28,5;23;46;33;überholen
2,6;61,45;28;24,3;46;33;überholen
2,7;60,95;28;25,6;46;33;überholen
2,8;60,45;28;26,9;46,5;33;überholen
2,9;59,95;28;28,25;46,5;33;überholen
3;59,45;28;29,6;46,5;33;überholen
3,1;58,95;28;30,95;47;33;überholen
3,2;58,45;27,5;32,35;47;33;überholen
3,3;57,9;27,5;33,75;47;33;überholen
3,4;57,35;28;35,15;47;33;überholen
3,5;56,85;28;36,55;47;33;überholen
3,6;56,35;28;37,95;47;33;überholen
3,7;55,85;28;39,35;47;33;überholen
