Takt;Distanz (voraus);Geschwindigkeit (voraus);Distanz (linke Spur);Geschwindigkeit (linke Spur);Eigengeschwindigkeit;Reaktion
0;55;29;-15;36;32;keine
0,1;54,6;28;-14,6;36;32;keine
0,2;54,25;28;-14,15;36;31,5;keine
0,3;53,9;28;-13,7;36;31,5;keine
0,4;53,6;28;-13,2;36;31;keine
0,5;53,25;28;-12,75;36;31,5;keine
0,6;52,9;28;-12,3;36;31,5;keine
0,7;52,5;28;-11,9;36;32;keine
0,8;52,1;28;-11,5;36;32;keine
0,9;51,7;28;-11,1;36;32;keine
1;51,25;28;-10,75;36;32,5;keine
1,1;50,8;28;-10,4;36;32,5;keine
1,2;50,35;28;-10,05;36;32,5;keine
1,3;49,8;27,5;-9,75;36;33;keine
1,4;49,3;27,5;-9,4;36;32,5;keine
1,5;48,8;27,5;-9,05;36;32,5;keine
1,6;48,35;27,5;-8,65;36;32;verzögern
1,7;47,95;28;-8,25;36;32;verzögern
1,8;47,6;28;-7,8;36;31,5;verzögern
1,9;47,2;28;-7,4;36;32;verzögern
2;46,85;28;-6,95;36;31,5;verzögern
2,1;46,5;28;-6,5;36;31,5;verzögern
2,2;46,2;28;-6;36;31;verzögern
2,3;45,95;28,5;-5,5;36;31;verzögern
2,4;45,7;28,5;-5;36;31;verzögern
2,5;45,4;28,5;-4,55;36;31,5;verzögern
2,6;45,1;28;-4,05;36;31;verzögern
2,7;44,8;28;-3,55;36;31;verzögern
2,8;44,55;28;-3;36;30,5;verzögern
2,9;44,3;28;-2,45;36;30,5;verzögern
3;44;28;-1,95;36;31;verzögern
3,1;43,75;28;-1,4;36;30,5;verzögern
3,2;43,45;27,5;-0,85;36;30,5;verzögern
3,3;43,15;27,5;-0,3;36;30,5;verzögern
3,4;42,95;28;0,3;36;30;verzögern
3,5;42,75;28;0,9;36;30;verzögern
3,6;42,6;28;1,55;36;29,5;verzögern
3,7;42,45;28;2,2;36;29,5;verzögern
